strip,number,category,color temp,lux,R,G,B,C,R_clear,G_clear,B_clear,R_gamma,G_gamma,B_gamma,H_360,H,S,V
2,2-3,blood,5410,3796,6686,6307,5448,18262,93.359,88.067,76.073,20.885,18.05,12.517,42.35,0.1176,0.1828,93
2,2-3,pH,2915,1825,4497,3192,2394,9995,114.731,81.437,61.078,34.966,14.842,7.23,22.64,0.0629,0.4649,114
2,2-3,protein,4673,3395,6093,5503,4525,15894,97.755,88.289,72.598,23.431,18.164,11.137,38.4,0.1067,0.2577,97
2,2-3,glucose,5149,1927,2706,2823,2254,7725,89.324,93.186,74.404,18.701,20.788,11.842,72.63,0.2018,0.2043,93
2,2-3,ketone,5250,2649,5662,4866,4362,14598,98.905,85,76.196,24.126,16.519,12.568,24.55,0.0682,0.2245,98
3,3-3,white,5731,3571,6926,6327,5692,18870,93.595,85.5,76.919,21.017,16.763,12.868,31.76,0.0882,0.1828,93
3,3-3,blood,4791,2007,1748,2350,1549,5697,78.241,105.187,69.334,13.429,28.141,9.927,105,0.2917,0.3429,105
3,3-3,pH,4513,2276,3759,3495,2759,9870,97.117,90.296,71.281,23.05,19.214,10.638,43.85,0.1218,0.268,97
3,3-3,protein,5150,3428,6142,5682,4845,16432,95.315,88.176,75.187,21.996,18.106,12.156,39,0.1083,0.2105,95
3,3-3,glucose,3769,1692,2851,2498,1810,7089,102.554,89.856,65.108,26.413,18.981,8.482,38.92,0.1081,0.3627,102
3,3-3,ketone,5344,2780,6058,5183,4691,15602,99.012,84.711,76.67,24.191,16.379,12.764,20.87,0.058,0.2323,99
4,4-3,white,5785,4030,7735,7114,6403,21085,93.546,86.036,77.437,20.99,17.027,13.086,33.75,0.0938,0.172,93
4,4-3,blood,5834,1785,1926,2413,1910,6253,78.543,98.403,77.891,13.558,23.821,13.279,117.14,0.3254,0.2143,98
4,4-3,pH,5845,2941,5133,4949,4377,14225,92.015,88.717,78.463,20.141,18.385,13.524,42.86,0.119,0.1522,92
4,4-3,protein,4171,1924,2512,2559,1775,6771,94.603,96.374,66.848,21.588,22.612,9.061,64,0.1778,0.3125,96
4,4-3,glucose,4439,2513,4382,3957,3156,11247,99.352,89.716,71.555,24.399,18.907,10.741,38.57,0.1071,0.2828,99
4,4-3,ketone,5487,3292,6666,5918,5307,17481,97.239,86.327,77.415,23.123,17.172,13.077,27,0.075,0.2062,97
5,5-3,white,6230,3215,5869,5614,5110,16390,91.311,87.344,79.503,19.758,17.682,13.976,40,0.1111,0.1319,91
5,5-3,blood,6872,1662,2760,2826,2599,8072,87.19,89.275,82.104,17.604,18.675,15.148,77.14,0.2143,0.0787,89
5,5-3,pH,6066,2928,5333,5078,4584,14852,91.564,87.186,78.705,19.896,17.602,13.628,41.54,0.1154,0.1429,91
5,5-3,protein,7253,1270,2094,2177,2030,6303,84.717,88.075,82.128,16.382,18.054,15.159,100,0.2778,0.0682,88
6,6-3,white,4827,2454,4853,4233,3622,12657,97.773,85.282,72.972,23.442,16.656,11.281,31.2,0.0867,0.2577,97
6,6-3,blood,3954,3447,5637,5075,3733,14354,100.142,90.158,66.317,24.887,19.14,8.882,42.35,0.1176,0.34,100
6,6-3,protein,6221,1850,2548,2819,2421,7656,84.867,93.893,80.637,16.454,21.185,14.48,101.54,0.2821,0.1398,93
6,6-3,glucose,5122,2768,5588,4895,4295,14477,98.428,86.221,75.653,23.836,17.119,12.345,28.7,0.0797,0.2347,98
1,1-4,white,6155,1607,2982,2823,2569,8329,91.297,86.429,78.652,19.75,17.222,13.606,36.92,0.1026,0.1429,91
1,1-4,blood,3084,1239,2079,1710,1072,4842,109.489,90.056,56.456,31.107,19.086,5.939,38.49,0.1069,0.4862,109
1,1-4,pH,4308,1188,2803,2222,1924,6843,104.452,82.801,71.697,27.652,15.472,10.794,20,0.0556,0.3173,104
